
[16:32:52.430]收←◆ LCD ID:ffff

SDRAM Capacity:9504KB
SDRAM Capacity:9520KB
SDRAM Capacity:9536KB
SDRAM Capacity:9552KB
SDRAM Capacity:9568KB
SDRAM Capacity:9584KB
SDRAM Capacity:9600KB
SDRAM Capacity:9616KB
SDRAM Capacity:9632KB
SDRAM Capacity:9648KB
SDRAM Capacity:9664KB
SDRAM Capacity:9680KB
SDRAM Capacity:9696KB
SDRAM Capacity:9712KB
SDRAM Capacity:9728KB
SDRAM Capacity:9744KB
SDRAM Capacity:9760KB
SDRAM Capacity:9776KB
SDRAM Capacity:9792KB
SDRAM Capacity:9808KB
SDRAM Capacity:9824KB
SDRAM Capacity:9840KB
SDRAM Capacity:9856KB
SDRAM Capacity:9872KB
SDRAM Capacity:9888KB
SDRAM Capacity:9904KB
SDRAM Capacity:9920KB
SDRAM Capacity:9936KB
SDRAM Capacity:9952KB
SDRAM Capacity:9968KB
SDRAM Capacity:9984KB
SDRAM Capacity:10000KB
SDRAM Capacity:10016KB
SDRAM Capacity:10032KB
SDRAM Capacity:10048KB
SDRAM Capacity:10064KB
SDRAM Capacity:10080KB
SDRAM Capacity:10096KB
SDRAM Capacity:10112KB
SDRAM Capacity:10128KB
SDRAM Capacity:10144KB
SDRAM Capacity:10160KB
SDRAM Capacity:10176KB
SDRAM Capacity:10192KB
SDRAM Capacity:10208KB
SDRAM Capacity:10224KB
SDRAM Capacity:10240KB
SDRAM Capacity:11280KB
SDRAM Capacity:11296KB
SDRAM Capacity:11312KB
SDRAM Capacity:11328KB
SDRAM Capacity:11344KB
SDRAM Capacity:11360KB
SDRAM Capacity:11376KB
SDRAM Capacity:11392KB
SDRAM Capacity:11408KB
SDRAM Capacity:11424KB
SDRAM Capacity:11440KB
SDRAM Capacity:11456KB
SDRAM Capacity:11472KB
SDRAM Capacity:11488KB
SDRAM Capacity:11504KB
SDRAM Capacity:11520KB
SDRAM Capacity:11536KB
SDRAM Capacity:11552KB
SDRAM Capacity:11568KB
SDRAM Capacity:11584KB
SDRAM Capacity:11600KB
SDRAM Capacity:11616KB
SDRAM Capacity:11632KB
SDRAM Capacity:11648KB
SDRAM Capacity:11664KB
SDRAM Capacity:11680KB
SDRAM Capacity:11696KB
SDRAM Capacity:11712KB
SDRAM Capacity:11728KB
SDRAM Capacity:11744KB
SDRAM Capacity:11760KB
SDRAM Capacity:11776KB
SDRAM Capacity:11792KB
SDRAM Capacity:11808KB
SDRAM Capacity:11824KB
SDRAM Capacity:11840KB
SDRAM Capacity:11856KB
SDRAM Capacity:11872KB
SDRAM Capacity:11888KB
SDRAM Capacity:11904KB
SDRAM Capacity:11920KB
SDRAM Capacity:11936KB
SDRAM Capacity:11952KB
SDRAM Capacity:11968KB
SDRAM Capacity:11984KB
SDRAM Capacity:12000KB
SDRAM Capacity:12016KB
SDRAM Capacity:12032KB
SDRAM Capacity:12048KB
SDRAM Capacity:12064KB
SDRAM Capacity:12080KB
SDRAM Capacity:12096KB
SDRAM Capacity:12112KB
SDRAM Capacity:12128KB
SDRAM Capacity:12144KB
SDRAM Capacity:12160KB
SDRAM Capacity:12176KB
SDRAM Capacity:12192KB
SDRAM Capacity:12208KB
SDRAM Capacity:12224KB
